iter	Passed	Remaining
0	1	121
1	2	100
2	2	92
3	3	86
4	4	82
5	5	80
6	5	78
7	6	77
8	7	75
9	8	76
10	9	74
11	9	73
12	10	72
13	11	70
14	12	69
15	12	68
16	13	67
17	14	65
18	15	64
19	15	63
20	16	63
21	17	62
22	18	61
23	19	60
24	19	59
25	20	59
26	21	58
27	22	58
28	23	58
29	24	57
30	25	56
31	26	55
32	27	55
33	28	54
34	28	53
35	29	52
36	30	51
37	31	50
38	31	49
39	32	49
40	33	48
41	34	47
42	35	46
43	35	45
44	36	44
45	37	43
46	38	42
47	38	42
48	39	41
49	40	40
50	41	39
51	41	38
52	42	37
53	43	36
54	44	36
55	44	35
56	45	34
57	46	33
58	47	33
59	48	32
60	49	31
61	49	30
62	50	29
63	52	29
64	52	28
65	53	27
66	54	26
67	55	26
68	56	25
69	56	24
70	57	23
71	58	22
72	59	21
73	59	21
74	60	20
75	61	19
76	62	18
77	63	17
78	63	16
79	64	16
80	65	15
81	66	14
82	66	13
83	67	12
84	68	12
85	69	11
86	69	10
87	70	9
88	71	8
89	72	8
90	72	7
91	73	6
92	74	5
93	75	4
94	76	4
95	76	3
96	77	2
97	78	1
98	79	0
99	80	0
