iter	Passed	Remaining
0	211	211076
1	212	106223
2	213	71119
3	214	53488
4	215	42897
5	216	35830
6	216	30777
7	217	26978
8	218	24029
9	218	21663
10	219	19727
11	220	18116
12	220	16754
13	221	15587
14	221	14574
15	222	13691
16	223	12912
17	223	12218
18	224	11596
19	225	11034
20	225	10527
21	226	10082
22	227	9678
23	228	9294
24	229	8939
25	229	8612
26	230	8310
27	231	8030
28	232	7768
29	232	7521
30	233	7290
31	233	7074
32	234	6870
33	235	6679
34	235	6498
35	236	6328
36	237	6168
37	237	6016
38	238	5872
39	238	5735
40	239	5609
41	240	5484
42	241	5369
43	242	5262
44	242	5155
45	243	5052
46	244	4952
47	244	4857
48	245	4768
49	246	4681
50	247	4597
51	247	4515
52	248	4436
53	248	4360
54	249	4288
55	250	4217
56	250	4150
57	251	4084
58	252	4022
59	253	3964
60	253	3905
61	254	3848
62	255	3797
63	256	3745
64	256	3693
65	257	3642
66	258	3593
67	258	3545
68	259	3499
69	260	3454
70	260	3410
71	261	3368
72	261	3326
73	262	3286
74	263	3248
75	264	3211
76	264	3174
77	265	3137
78	266	3102
79	266	3068
80	267	3035
81	268	3004
82	268	2969
83	269	2939
84	270	2914
85	271	2888
86	272	2860
87	273	2832
88	274	2805
89	275	2780
90	275	2755
91	276	2730
92	277	2707
93	278	2683
94	279	2660
95	280	2638
96	281	2616
97	281	2594
98	282	2572
99	283	2550
100	284	2530
101	285	2512
102	286	2493
103	287	2475
104	288	2456
105	289	2438
106	289	2419
107	290	2401
108	291	2382
109	292	2364
110	293	2348
111	294	2331
112	294	2313
113	295	2298
114	296	2281
115	297	2265
116	298	2249
117	298	2234
118	299	2219
119	300	2204
120	301	2190
121	302	2175
122	303	2162
123	304	2148
124	305	2135
125	305	2121
126	306	2107
127	307	2095
128	309	2087
129	310	2074
130	310	2061
131	311	2048
132	312	2035
133	312	2021
134	313	2008
135	314	1997
136	315	1986
137	316	1974
138	317	1963
139	317	1952
140	318	1940
141	318	1927
142	319	1915
143	320	1904
144	321	1892
145	321	1881
146	322	1870
147	323	1859
148	323	1849
149	324	1838
150	325	1828
151	325	1818
152	326	1807
153	327	1797
154	327	1788
155	328	1779
156	330	1772
157	330	1763
158	331	1754
159	332	1745
160	332	1734
161	333	1726
162	334	1717
163	335	1709
164	336	1700
165	336	1691
166	337	1683
167	338	1675
168	339	1668
169	340	1660
170	341	1653
171	341	1646
172	343	1640
173	345	1639
174	347	1636
175	348	1630
176	349	1624
177	350	1617
178	351	1613
179	352	1606
180	353	1599
181	354	1592
182	355	1585
183	355	1578
184	356	1571
185	357	1564
186	358	1557
187	359	1553
188	360	1547
189	361	1541
190	362	1534
191	363	1528
192	363	1521
193	364	1515
194	365	1509
195	366	1502
196	367	1496
197	367	1489
198	368	1483
199	369	1476
200	369	1470
201	370	1464
202	371	1459
203	372	1453
204	373	1448
205	374	1444
206	375	1439
207	376	1433
208	377	1428
209	378	1422
210	379	1417
211	379	1412
212	380	1406
213	381	1400
214	382	1395
215	382	1390
216	383	1384
217	384	1379
218	385	1374
219	386	1368
220	386	1363
221	387	1358
222	388	1354
223	389	1350
224	390	1345
225	391	1340
226	392	1335
227	392	1330
228	393	1325
229	394	1320
230	395	1315
231	395	1310
232	396	1306
233	397	1301
234	398	1296
235	399	1291
236	399	1286
237	400	1281
238	401	1277
239	401	1272
240	402	1267
241	403	1263
242	405	1262
243	406	1258
244	407	1254
245	408	1250
246	408	1246
247	409	1242
248	410	1238
249	411	1234
250	412	1230
251	413	1226
252	414	1223
253	415	1219
254	415	1214
255	416	1210
256	417	1207
257	419	1205
258	420	1202
259	421	1198
260	422	1195
261	423	1191
262	423	1187
263	424	1183
264	425	1179
265	425	1175
266	426	1171
267	427	1167
268	428	1163
269	429	1160
270	429	1156
271	430	1152
272	432	1151
273	436	1156
274	437	1153
275	438	1149
276	439	1146
277	440	1142
278	440	1139
279	441	1135
280	442	1132
281	443	1129
282	444	1125
283	444	1121
284	445	1118
285	449	1122
286	450	1119
287	451	1116
288	452	1113
289	453	1109
290	454	1106
291	455	1103
292	455	1100
293	456	1096
294	457	1092
295	458	1089
296	458	1086
297	459	1082
298	460	1080
299	463	1081
300	464	1079
301	465	1075
302	466	1072
303	466	1068
304	467	1065
305	468	1063
306	469	1059
307	470	1056
308	471	1053
309	471	1050
310	472	1047
311	473	1044
312	474	1041
313	475	1039
314	477	1037
315	478	1036
316	479	1033
317	480	1030
318	481	1027
319	482	1024
320	482	1021
321	483	1018
322	484	1015
323	485	1012
324	485	1009
325	486	1006
326	487	1003
327	488	1000
328	489	997
329	490	995
330	491	993
331	492	990
332	493	987
333	493	984
334	494	981
335	495	978
336	496	976
337	496	973
338	497	970
339	498	967
340	499	964
341	499	961
342	500	958
343	501	955
344	502	953
345	503	950
346	503	948
347	504	946
348	505	943
349	506	940
350	507	938
351	508	935
352	508	932
353	509	930
354	510	927
355	511	924
356	511	921
357	512	919
358	513	916
359	514	913
360	514	911
361	515	909
362	516	906
363	517	903
364	518	901
365	518	898
366	519	896
367	520	894
368	521	892
369	522	889
370	523	887
371	523	884
372	524	882
373	525	879
374	526	877
375	526	874
376	527	871
377	528	869
378	529	867
379	530	864
380	530	862
381	531	859
382	532	857
383	532	854
384	534	853
385	535	851
386	535	848
387	536	846
388	537	844
389	538	842
390	539	839
391	539	837
392	540	835
393	541	833
394	542	830
395	543	828
396	543	826
397	544	823
398	545	821
399	546	819
400	546	817
401	547	814
402	548	813
403	550	812
404	551	810
405	552	808
406	553	806
407	554	804
408	554	801
409	555	799
410	556	797
411	557	795
412	558	793
413	559	791
414	560	789
415	560	787
416	561	784
417	562	782
418	562	780
419	563	778
420	565	777
421	566	776
422	567	774
423	568	771
424	568	769
425	569	767
426	570	765
427	571	763
428	572	761
429	573	759
430	573	757
431	574	755
432	575	753
433	576	751
434	577	749
435	578	748
436	580	747
437	581	745
438	582	743
439	582	741
440	583	740
441	584	738
442	585	736
443	586	734
444	587	732
445	587	730
446	588	728
447	589	726
448	590	724
449	591	722
450	592	721
451	593	719
452	594	717
453	595	716
454	596	714
455	597	712
456	598	711
457	599	709
458	600	707
459	600	705
460	601	703
461	602	701
462	603	699
463	603	697
464	604	695
465	605	694
466	606	692
467	607	690
468	608	689
469	610	688
470	611	686
471	611	684
472	612	682
473	613	681
474	614	679
475	615	677
476	616	675
477	616	673
478	617	671
479	618	670
480	619	668
481	620	666
482	620	664
483	638	681
484	639	679
485	640	677
486	641	675
487	641	673
488	642	671
489	643	669
490	643	667
491	644	665
492	645	663
493	645	661
494	646	659
495	647	657
496	647	655
497	648	653
498	649	651
499	649	649
500	650	647
501	650	645
502	651	643
503	652	641
504	653	640
505	654	638
506	654	636
507	655	634
508	656	632
509	656	631
510	657	629
511	658	627
512	658	625
513	659	623
514	660	621
515	660	619
516	661	618
517	662	616
518	663	614
519	664	612
520	664	611
521	665	609
522	665	607
523	666	605
524	667	604
525	668	602
526	669	601
527	670	599
528	671	597
529	671	595
530	672	594
531	673	592
532	674	590
533	675	589
534	675	587
535	676	585
536	677	583
537	677	582
538	678	580
539	679	578
540	679	576
541	680	575
542	681	573
543	683	572
544	683	571
545	684	569
546	685	568
547	686	566
548	687	565
549	688	563
550	689	561
551	690	560
552	690	558
553	691	556
554	692	555
555	693	553
556	693	551
557	694	550
558	695	548
559	697	548
560	699	547
561	700	545
562	701	544
563	702	542
564	702	541
565	703	539
566	704	538
567	705	536
568	706	534
569	706	533
570	707	531
571	708	529
572	708	528
573	709	526
574	710	525
575	711	523
576	712	522
577	713	520
578	714	519
579	715	517
580	715	516
581	716	514
582	717	513
583	718	511
584	718	509
585	719	508
586	720	506
587	720	505
588	721	503
589	722	501
590	722	500
591	723	498
592	724	497
593	725	495
594	726	494
595	726	492
596	727	491
597	728	489
598	729	488
599	730	486
600	731	485
601	731	483
602	732	482
603	733	480
604	733	479
605	734	477
606	735	476
607	736	474
608	736	473
609	737	471
610	738	470
611	739	468
612	740	467
613	741	465
614	742	464
615	743	463
616	744	461
617	745	460
618	746	459
619	747	458
620	749	457
621	750	455
622	751	454
623	752	453
624	752	451
625	753	450
626	755	449
627	757	448
628	759	447
629	760	446
630	761	445
631	762	443
632	763	442
633	764	441
634	765	439
635	766	438
636	767	437
637	767	435
638	768	434
639	769	433
640	770	431
641	772	430
642	773	429
643	774	428
644	775	426
645	776	425
646	777	424
647	778	422
648	779	421
649	780	420
650	781	418
651	782	417
652	782	416
653	783	414
654	784	413
655	785	412
656	787	411
657	788	409
658	789	408
659	790	407
660	791	405
661	791	404
662	792	403
663	793	401
664	794	400
665	795	398
666	795	397
667	796	395
668	797	394
669	797	392
670	798	391
671	799	390
672	800	388
673	801	387
674	802	386
675	803	385
676	804	383
677	804	382
678	805	380
679	806	379
680	807	378
681	807	376
682	808	375
683	809	373
684	810	372
685	811	371
686	811	369
687	812	368
688	813	367
689	813	365
690	814	364
691	815	363
692	816	361
693	817	360
694	818	359
695	818	357
696	819	356
697	820	354
698	821	353
699	822	352
700	823	351
701	823	349
702	824	348
703	825	347
704	826	345
705	826	344
706	827	342
707	828	341
708	829	340
709	829	338
710	830	337
711	832	336
712	833	335
713	834	334
714	835	332
715	836	331
716	837	330
717	838	329
718	838	327
719	839	326
720	840	325
721	841	323
722	841	322
723	842	321
724	843	319
725	843	318
726	844	317
727	845	315
728	846	314
729	847	313
730	847	312
731	848	310
732	849	309
733	850	308
734	850	306
735	851	305
736	852	304
737	853	302
738	854	301
739	855	300
740	855	299
741	856	297
742	857	296
743	858	295
744	858	294
745	859	292
746	862	292
747	863	290
748	864	289
749	865	288
750	866	287
751	867	286
752	868	284
753	869	283
754	870	282
755	870	281
756	871	279
757	872	278
758	873	277
759	874	276
760	875	275
761	876	273
762	877	272
763	878	271
764	879	270
765	880	268
766	881	267
767	882	266
768	883	265
769	884	264
770	885	262
771	885	261
772	886	260
773	887	259
774	888	257
775	888	256
776	890	255
777	891	254
778	891	253
779	893	251
780	894	250
781	895	249
782	895	248
783	896	247
784	897	245
785	898	244
786	898	243
787	899	242
788	900	240
789	900	239
790	901	238
791	902	236
